timestamp,can_id,data
2025-06-07T17:31:27.048584+00:00,0x18FEF100,00F2F9CC
2025-06-07T17:31:27.048584+00:00,0x0CF00400,14880000
2025-06-07T17:31:28.048584+00:00,0x18FEF100,00B9F8B8
2025-06-07T17:31:28.048584+00:00,0x0CF00400,15500000
2025-06-07T17:31:29.048584+00:00,0x18FEF100,0060F702
2025-06-07T17:31:29.048584+00:00,0x0CF00400,16180000
2025-06-07T17:31:30.048584+00:00,0x18FEF100,00CF42C8
2025-06-07T17:31:30.048584+00:00,0x0CF00400,16E00000
2025-06-07T17:31:31.048584+00:00,0x18FEF100,007DAEE8
2025-06-07T17:31:31.048584+00:00,0x0CF00400,17A80000
2025-06-07T17:31:32.048584+00:00,0x18FEF100,003CE27B
2025-06-07T17:31:32.048584+00:00,0x0CF00400,18700000
2025-06-07T17:31:33.048584+00:00,0x18FEF100,00352969
2025-06-07T17:31:33.048584+00:00,0x0CF00400,19380000
2025-06-07T17:31:34.048584+00:00,0x18FEF100,005B6F07
2025-06-07T17:31:34.048584+00:00,0x0CF00400,1A000000
2025-06-07T17:31:35.048584+00:00,0x18FEF100,0048A6C4
2025-06-07T17:31:35.048584+00:00,0x0CF00400,1AC80000
2025-06-07T17:31:36.048584+00:00,0x18FEF100,00903AF1
2025-06-07T17:31:36.048584+00:00,0x0CF00400,1B900000
2025-06-07T17:31:37.048584+00:00,0x18FEF100,00CF791F
2025-06-07T17:31:37.048584+00:00,0x0CF00400,1C580000
2025-06-07T17:31:38.048584+00:00,0x18FEF100,0035B030
2025-06-07T17:31:38.048584+00:00,0x0CF00400,1B900000
2025-06-07T17:31:39.048584+00:00,0x18FEF100,00B4424B
2025-06-07T17:31:39.048584+00:00,0x0CF00400,1AC80000
2025-06-07T17:31:40.048584+00:00,0x18FEF100,0099913E
2025-06-07T17:31:40.048584+00:00,0x0CF00400,1B900000
2025-06-07T17:31:41.048584+00:00,0x18FEF100,00B00069
2025-06-07T17:31:41.048584+00:00,0x0CF00400,1C580000
2025-06-07T17:31:42.048584+00:00,0x18FEF100,00140E69
2025-06-07T17:31:42.048584+00:00,0x0CF00400,1B900000
2025-06-07T17:31:43.048584+00:00,0x18FEF100,00D5DBC2
2025-06-07T17:31:43.048584+00:00,0x0CF00400,1C580000
2025-06-07T17:31:44.048584+00:00,0x18FEF100,0023D64F
2025-06-07T17:31:44.048584+00:00,0x0CF00400,1D200000
2025-06-07T17:31:45.048584+00:00,0x18FEF100,00BD3000
2025-06-07T17:31:45.048584+00:00,0x0CF00400,1C580000
2025-06-07T17:31:46.048584+00:00,0x18FEF100,00D3C450
2025-06-07T17:31:46.048584+00:00,0x0CF00400,1C4C0000
2025-06-07T17:31:47.048584+00:00,0x18FEF100,00DB496E
2025-06-07T17:31:47.048584+00:00,0x0CF00400,1D140000
2025-06-07T17:31:48.048584+00:00,0x18FEF100,00E737BE
2025-06-07T17:31:48.048584+00:00,0x0CF00400,1DDC0000
2025-06-07T17:31:49.048584+00:00,0x18FEF100,0011546E
2025-06-07T17:31:49.048584+00:00,0x0CF00400,1D140000
